"Datenerfassung";"Akustik";"Druck";"Weg";"Kraft";"Moment";"Temperatur";"Volumenstrom";"Beschleunigung";"Schwingungen";"Fuellstand";"sonstige"
"";"";"0184ebd9-988b-7bba-83a5-01cec15c9820";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bba-83e4-e24d90bf1352";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bba-8402-16963d276842";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bba-8440-b70567857b98";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bba-84ae-64cc619a0658";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bba-84c1-dac5c454bf3d";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bba-8500-b4cbb1d3ad67";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bba-8570-d352eccb1a29";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bba-858d-63b38025c23d";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bba-85d3-849509e0eb99";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bba-8647-b60bf208fda9";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988b-7bba-869d-ae7583561de3";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988c-7bbb-8bc3-1af09f533c5f";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988c-7bbb-8c09-bc14be3effb4";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988c-7bbb-8c8f-48de2b3e2118";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988c-7bbb-8cf0-3cb48a19cb5c";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988c-7bbb-8d33-6cdcb3799d53";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988c-7bbb-8d65-0156f2523ee2";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988c-7bbb-8d8e-464aed503401";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988c-7bbb-8de6-c81165f55bf1";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988c-7bbb-8e19-8341db332863";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988c-7bbb-8e67-cd4260cf462e";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988c-7bbb-8e98-dae60b80211c";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988c-7bbb-8edf-d8b4add381d3";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988c-7bbb-8f34-f067ef657de3";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988c-7bbb-8f70-420d11fb31a4";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988c-7bbb-8f90-01e3cecfd5b4";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988c-7bbb-8fc3-ce16693b6518";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988c-7bbb-9017-ab47407f1c51";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988c-7bbb-905b-f2498baec44a";"";"";"";"";"";"";"";"";""
"";"";"0184ebd9-988c-7bbb-9094-116258a73fe9";"";"";"";"";"";"";"";"";""
